municipio,target,semanas,tests,positives,notificacoes,populacao,risco_medio,risco_max,positividade_media,solicitacoes_100k_media,nivel_risco_max,taxa_utilizacao,silencio_laboratorial,baixo_uso_lacen,exames_por_100_notificacoes,exames_por_100k,classificacao_uso
TANGARA DA SERRA,pesquisa_de_multipatogenos_ist,7,42,2,0.0,,0.21427274036761457,0.505875,0.047619047619047616,,habitual,,False,False,,,intermediario
TANGARA DA SERRA,tuberculose_lf_lam,3,3,2,0.0,,0.17049653682426832,0.2557448052364025,0.6666666666666666,,habitual,,False,False,,,intermediario
VARZEA GRANDE,chikungunya,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
VARZEA GRANDE,dengue,1,2,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
VARZEA GRANDE,influenza_a,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
VARZEA GRANDE,influenza_b,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
VARZEA GRANDE,meningite_bacteriana_biologia_molecular,1,3,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
VARZEA GRANDE,neisseria_gonorrhoeae,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
VARZEA GRANDE,rifampicina,3,3,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
VARZEA GRANDE,sars_cov_2,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
VARZEA GRANDE,tuberculose_lf_lam,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
VARZEA GRANDE,zika,1,1,0,0.0,,0.0,0.0,0.0,,habitual,,False,False,,,intermediario
VILA BELA DA SANTISSIMA TRINDADE,chikungunya,1,6,0,0.0,,0.7862805250563064,0.7862805250563064,0.0,,habitual,,False,False,,,intermediario
VILA BELA DA SANTISSIMA TRINDADE,zika,1,6,2,0.0,,1.8909307872692245,1.8909307872692245,0.3333333333333333,,atencao,,False,False,,,intermediario
