target,forecast_step,forecast_epi_year,forecast_epi_week,forecast_tests,forecast_positividade,forecast_notificacoes,metodo,modelo_versao
hansen_ase_hansen_ase,3,2026,21,4.22,0.0,0.0,ewma_span4_tail8,baseline_v1
hansen_ase_hansen_ase,4,2026,22,4.22,0.0,0.0,ewma_span4_tail8,baseline_v1
hansen_ase_hansen_ase_biologia_molecular,1,2025,50,3.26,0.0,0.0,ewma_span4_tail8,baseline_v1
hansen_ase_hansen_ase_biologia_molecular,2,2025,51,3.26,0.0,0.0,ewma_span4_tail8,baseline_v1
hansen_ase_hansen_ase_biologia_molecular,3,2025,52,3.26,0.0,0.0,ewma_span4_tail8,baseline_v1
hansen_ase_hansen_ase_biologia_molecular,4,2025,53,3.26,0.0,0.0,ewma_span4_tail8,baseline_v1
hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico,1,2025,50,6.67,0.0,0.0,ewma_span4_tail8,baseline_v1
hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico,2,2025,51,6.67,0.0,0.0,ewma_span4_tail8,baseline_v1
hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico,3,2025,52,6.67,0.0,0.0,ewma_span4_tail8,baseline_v1
hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico,4,2025,53,6.67,0.0,0.0,ewma_span4_tail8,baseline_v1
hantavirus,1,2025,50,2.34,0.0,0.12,ewma_span4_tail8,baseline_v1
hantavirus,2,2025,51,2.34,0.0,0.12,ewma_span4_tail8,baseline_v1
hantavirus,3,2025,52,2.34,0.0,0.12,ewma_span4_tail8,baseline_v1
hantavirus,4,2025,53,2.34,0.0,0.12,ewma_span4_tail8,baseline_v1
hepatite,1,2026,16,3.01,0.0,0.0,ewma_span4_tail8,baseline_v1
hepatite,2,2026,17,3.01,0.0,0.0,ewma_span4_tail8,baseline_v1
hepatite,3,2026,18,3.01,0.0,0.0,ewma_span4_tail8,baseline_v1
hepatite,4,2026,19,3.01,0.0,0.0,ewma_span4_tail8,baseline_v1
hepatite_a,1,2025,50,2.45,0.0,0.0,ewma_span4_tail8,baseline_v1
hepatite_a,2,2025,51,2.45,0.0,0.0,ewma_span4_tail8,baseline_v1
hepatite_a,3,2025,52,2.45,0.0,0.0,ewma_span4_tail8,baseline_v1
hepatite_a,4,2025,53,2.45,0.0,0.0,ewma_span4_tail8,baseline_v1
hepatite_b_hbv,1,2026,22,2.63,0.0,0.0,ewma_span4_tail8,baseline_v1
hepatite_b_hbv,2,2026,23,2.63,0.0,0.0,ewma_span4_tail8,baseline_v1
hepatite_b_hbv,3,2026,24,2.63,0.0,0.0,ewma_span4_tail8,baseline_v1
hepatite_b_hbv,4,2026,25,2.63,0.0,0.0,ewma_span4_tail8,baseline_v1
hepatite_c_hcv,1,2026,21,2.15,0.0,0.0,ewma_span4_tail8,baseline_v1
