municipio,vizinho,dist_km,rank_vizinho
NOVA MARINGA,CAMPO NOVO DO PARECIS,116.41,3
NOVA MUTUM,DIAMANTINO,75.75,1
NOVA MUTUM,ALTO PARAGUAI,88.06,2
NOVA MUTUM,LUCAS DO RIO VERDE,88.43,3
NOVA MUTUM,NORTELANDIA,102.25,4
NOVA MUTUM,NOBRES,102.82,5
NOVA MUTUM,ARENAPOLIS,108.0,6
NOVA OLIMPIA,SANTO AFONSO,22.4,1
NOVA OLIMPIA,DENISE,26.01,2
NOVA OLIMPIA,TANGARA DA SERRA,29.26,3
NOVA OLIMPIA,BARRA DO BUGRES,32.95,4
NOVA OLIMPIA,PORTO ESTRELA,59.58,5
NOVA OLIMPIA,ARENAPOLIS,61.22,6
NOVA SANTA HELENA,COLIDER,13.97,1
NOVA SANTA HELENA,ITAUBA,30.9,2
NOVA SANTA HELENA,NOVA GUARITA,63.7,3
NOVA SANTA HELENA,NOVA CANAA DO NORTE,70.9,4
NOVA SANTA HELENA,CLAUDIA,71.39,5
NOVA SANTA HELENA,PEIXOTO DE AZEVEDO,81.36,6
NOVA UBIRATA,SORRISO,70.03,1
NOVA UBIRATA,LUCAS DO RIO VERDE,71.49,2
NOVA UBIRATA,FELIZ NATAL,75.24,3
NOVA UBIRATA,VERA,76.21,4
NOVA UBIRATA,SANTA CARMEM,118.97,5
NOVA XAVANTINA,AGUA BOA,40.91,1
NOVA XAVANTINA,CAMPINAPOLIS,60.63,2
NOVA XAVANTINA,NOVO SAO JOAQUIM,76.23,3
NOVO HORIZONTE DO NORTE,PORTO DOS GAUCHOS,14.38,1
NOVO HORIZONTE DO NORTE,BRASNORTE,107.62,2
NOVO HORIZONTE DO NORTE,ITANHANGA,118.16,3
NOVO SAO JOAQUIM,CAMPINAPOLIS,47.24,1
NOVO SAO JOAQUIM,SANTO ANTONIO DO LESTE,65.04,2
NOVO SAO JOAQUIM,NOVA XAVANTINA,76.23,3
NOVO SAO JOAQUIM,GENERAL CARNEIRO,93.13,4
NOVO SAO JOAQUIM,AGUA BOA,110.99,5
PARANATINGA,SANTO ANTONIO DO LESTE,63.53,1
PEDRA PRETA,RONDONOPOLIS,23.92,1
PEDRA PRETA,SAO JOSE DO POVO,28.97,2
PEDRA PRETA,ITIQUIRA,74.04,3
PEDRA PRETA,GUIRATINGA,82.28,4
PEDRA PRETA,SAO PEDRO DA CIPA,87.74,5
PEDRA PRETA,POXOREU,87.8,6
PEIXOTO DE AZEVEDO,NOVA GUARITA,51.03,1
PEIXOTO DE AZEVEDO,NOVA SANTA HELENA,81.36,2
PEIXOTO DE AZEVEDO,COLIDER,84.02,3
PEIXOTO DE AZEVEDO,ITAUBA,107.49,4
PEIXOTO DE AZEVEDO,NOVA CANAA DO NORTE,118.8,5
PLANALTO DA SERRA,NOVA BRASILANDIA,81.61,1
PLANALTO DA SERRA,CAMPO VERDE,99.87,2
PLANALTO DA SERRA,CHAPADA DOS GUIMARAES,102.75,3
PLANALTO DA SERRA,NOBRES,112.81,4
POCONE,NOSSA SENHORA DO LIVRAMENTO,61.94,1
POCONE,SANTO ANTONIO DO LEVERGER,72.71,2
POCONE,VARZEA GRANDE,85.68,3
POCONE,CUIABA,92.51,4
POCONE,JANGADA,114.04,5
POCONE,CACERES,114.73,6
PONTAL DO ARAGUAIA,ARAGUAIANA,22.36,1
PONTAL DO ARAGUAIA,BARRA DO GARCAS,26.82,2
PONTAL DO ARAGUAIA,TORIXOREU,71.27,3
PONTAL DO ARAGUAIA,GENERAL CARNEIRO,80.66,4
PONTE BRANCA,ARAGUAINHA,23.47,1
PONTE BRANCA,TORIXOREU,68.42,2
PONTE BRANCA,ALTO ARAGUAIA,73.62,3
PONTE BRANCA,ALTO GARCAS,76.67,4
PONTE BRANCA,TESOURO,107.35,5
PONTE BRANCA,GUIRATINGA,108.98,6
PORTO ALEGRE DO NORTE,CANABRAVA DO NORTE,27.41,1
PORTO ALEGRE DO NORTE,SANTA CRUZ DO XINGU,45.36,2
PORTO ALEGRE DO NORTE,ALTO BOA VISTA,93.07,3
PORTO ALEGRE DO NORTE,VILA RICA,110.88,4
PORTO ALEGRE DO NORTE,LUCIARA,116.76,5
PORTO DOS GAUCHOS,NOVO HORIZONTE DO NORTE,14.38,1
PORTO DOS GAUCHOS,BRASNORTE,93.48,2
PORTO DOS GAUCHOS,ITANHANGA,113.96,3
PORTO ESPERIDIAO,GLORIA D'OESTE,19.36,1
PORTO ESPERIDIAO,SAO JOSE DOS QUATRO MARCOS,39.2,2
PORTO ESPERIDIAO,ARAPUTANGA,44.43,3
PORTO ESPERIDIAO,FIGUEIROPOLIS D'OESTE,55.22,4
PORTO ESPERIDIAO,JAURU,74.61,5
PORTO ESPERIDIAO,RIO BRANCO,75.87,6
PORTO ESTRELA,BARRA DO BUGRES,28.51,1
PORTO ESTRELA,NOVA OLIMPIA,59.58,2
PORTO ESTRELA,DENISE,67.86,3
PORTO ESTRELA,SANTO AFONSO,77.88,4
PORTO ESTRELA,JANGADA,78.86,5
PORTO ESTRELA,TANGARA DA SERRA,84.03,6
POXOREU,DOM AQUINO,56.9,1
POXOREU,SAO PEDRO DA CIPA,57.58,2
POXOREU,SAO JOSE DO POVO,68.73,3
POXOREU,RONDONOPOLIS,75.34,4
POXOREU,PEDRA PRETA,87.8,5
POXOREU,GUIRATINGA,87.87,6
RIBEIRAO CASCALHEIRA,BOM JESUS DO ARAGUAIA,84.63,1
RIBEIRAO CASCALHEIRA,SERRA NOVA DOURADA,98.79,2
RIO BRANCO,SALTO DO CEU,13.27,1
RIO BRANCO,ARAPUTANGA,34.61,2
RIO BRANCO,SAO JOSE DOS QUATRO MARCOS,41.74,3
RIO BRANCO,GLORIA D'OESTE,59.1,4
RIO BRANCO,FIGUEIROPOLIS D'OESTE,69.73,5
RIO BRANCO,PORTO ESPERIDIAO,75.87,6
RONDONOPOLIS,PEDRA PRETA,23.92,1
RONDONOPOLIS,SAO JOSE DO POVO,38.51,2
RONDONOPOLIS,SAO PEDRO DA CIPA,64.7,3
RONDONOPOLIS,POXOREU,75.34,4
RONDONOPOLIS,DOM AQUINO,79.67,5
RONDONOPOLIS,GUIRATINGA,94.51,6
ROSARIO OESTE,NOBRES,16.69,1
ROSARIO OESTE,NOVA MARILANDIA,24.03,2
ROSARIO OESTE,ALTO PARAGUAI,36.19,3
ROSARIO OESTE,ACORIZAL,40.73,4
ROSARIO OESTE,JANGADA,45.32,5
ROSARIO OESTE,DIAMANTINO,47.66,6
SALTO DO CEU,RIO BRANCO,13.27,1
SALTO DO CEU,ARAPUTANGA,43.25,2
SALTO DO CEU,SAO JOSE DOS QUATRO MARCOS,54.46,3
SALTO DO CEU,GLORIA D'OESTE,70.85,4
SALTO DO CEU,FIGUEIROPOLIS D'OESTE,72.53,5
SALTO DO CEU,JAURU,82.23,6
SANTA CARMEM,VERA,43.62,1
SANTA CARMEM,CLAUDIA,47.29,2
SANTA CARMEM,FELIZ NATAL,63.56,3
SANTA CARMEM,SORRISO,86.27,4
SANTA CARMEM,ITAUBA,86.55,5
SANTA CARMEM,IPIRANGA DO NORTE,94.5,6
SANTA CRUZ DO XINGU,CANABRAVA DO NORTE,18.32,1
SANTA CRUZ DO XINGU,PORTO ALEGRE DO NORTE,45.36,2
SANTA CRUZ DO XINGU,ALTO BOA VISTA,92.31,3
SANTA TEREZINHA,LUCIARA,32.11,1
SANTA TEREZINHA,VILA RICA,83.11,2
SANTO AFONSO,DENISE,17.67,1
SANTO AFONSO,NOVA OLIMPIA,22.4,2
SANTO AFONSO,TANGARA DA SERRA,34.09,3
SANTO AFONSO,ARENAPOLIS,40.39,4
SANTO AFONSO,NORTELANDIA,46.06,5
SANTO AFONSO,BARRA DO BUGRES,49.5,6
SANTO ANTONIO DO LESTE,PARANATINGA,63.53,1
SANTO ANTONIO DO LESTE,NOVO SAO JOAQUIM,65.04,2
SANTO ANTONIO DO LESTE,CAMPINAPOLIS,85.96,3
SANTO ANTONIO DO LEVERGER,VARZEA GRANDE,25.05,1
SANTO ANTONIO DO LEVERGER,CUIABA,30.04,2
SANTO ANTONIO DO LEVERGER,NOSSA SENHORA DO LIVRAMENTO,30.74,3
SANTO ANTONIO DO LEVERGER,CHAPADA DOS GUIMARAES,57.1,4
SANTO ANTONIO DO LEVERGER,POCONE,72.71,5
SANTO ANTONIO DO LEVERGER,ACORIZAL,80.39,6
SAO JOSE DO POVO,PEDRA PRETA,28.97,1
SAO JOSE DO POVO,RONDONOPOLIS,38.51,2
SAO JOSE DO POVO,GUIRATINGA,56.17,3
SAO JOSE DO POVO,POXOREU,68.73,4
SAO JOSE DO POVO,ITIQUIRA,85.89,5
SAO JOSE DO POVO,SAO PEDRO DA CIPA,87.27,6
SAO JOSE DOS QUATRO MARCOS,GLORIA D'OESTE,19.99,1
SAO JOSE DOS QUATRO MARCOS,ARAPUTANGA,25.89,2
SAO JOSE DOS QUATRO MARCOS,PORTO ESPERIDIAO,39.2,3
SAO JOSE DOS QUATRO MARCOS,RIO BRANCO,41.74,4
SAO JOSE DOS QUATRO MARCOS,SALTO DO CEU,54.46,5
SAO JOSE DOS QUATRO MARCOS,FIGUEIROPOLIS D'OESTE,63.7,6
SAO PEDRO DA CIPA,DOM AQUINO,16.16,1
SAO PEDRO DA CIPA,CAMPO VERDE,52.93,2
SAO PEDRO DA CIPA,POXOREU,57.58,3
SAO PEDRO DA CIPA,RONDONOPOLIS,64.7,4
SAO PEDRO DA CIPA,SAO JOSE DO POVO,87.27,5
SAO PEDRO DA CIPA,PEDRA PRETA,87.74,6
SAPEZAL,CAMPOS DE JULIO,27.53,1
SAPEZAL,CAMPO NOVO DO PARECIS,103.53,2
SAPEZAL,COMODORO,103.59,3
SERRA NOVA DOURADA,BOM JESUS DO ARAGUAIA,26.21,1
SERRA NOVA DOURADA,ALTO BOA VISTA,49.63,2
SERRA NOVA DOURADA,RIBEIRAO CASCALHEIRA,98.79,3
SORRISO,VERA,51.08,1
SORRISO,IPIRANGA DO NORTE,55.78,2
SORRISO,LUCAS DO RIO VERDE,60.13,3
SORRISO,NOVA UBIRATA,70.03,4
SORRISO,SANTA CARMEM,86.27,5
SORRISO,FELIZ NATAL,87.55,6
TANGARA DA SERRA,NOVA OLIMPIA,29.26,1
TANGARA DA SERRA,SANTO AFONSO,34.09,2
TANGARA DA SERRA,DENISE,48.69,3
TANGARA DA SERRA,BARRA DO BUGRES,60.47,4
TANGARA DA SERRA,ARENAPOLIS,71.74,5
TANGARA DA SERRA,NORTELANDIA,77.01,6
TAPURAH,ITANHANGA,59.48,1
TAPURAH,NOVA MARINGA,62.91,2
TAPURAH,LUCAS DO RIO VERDE,76.08,3
TAPURAH,IPIRANGA DO NORTE,80.93,4
TAPURAH,SORRISO,92.67,5
TESOURO,GUIRATINGA,36.91,1
TESOURO,SAO JOSE DO POVO,87.44,2
TESOURO,POXOREU,93.84,3
TESOURO,GENERAL CARNEIRO,94.73,4
TESOURO,ALTO GARCAS,95.97,5
TESOURO,ARAGUAINHA,102.15,6
TORIXOREU,BARRA DO GARCAS,47.63,1
TORIXOREU,GENERAL CARNEIRO,59.72,2
TORIXOREU,PONTE BRANCA,68.42,3
TORIXOREU,PONTAL DO ARAGUAIA,71.27,4
TORIXOREU,ARAGUAINHA,88.13,5
TORIXOREU,ARAGUAIANA,93.56,6
UNIAO DO SUL,CLAUDIA,93.53,1
UNIAO DO SUL,SANTA CARMEM,108.82,2
UNIAO DO SUL,ITAUBA,110.6,3
UNIAO DO SUL,FELIZ NATAL,117.63,4
VALE DE SAO DOMINGOS,JAURU,50.72,1
VALE DE SAO DOMINGOS,FIGUEIROPOLIS D'OESTE,67.46,2
VALE DE SAO DOMINGOS,CONQUISTA D'OESTE,76.49,3
VALE DE SAO DOMINGOS,ARAPUTANGA,108.65,4
VALE DE SAO DOMINGOS,PORTO ESPERIDIAO,113.54,5
VARZEA GRANDE,CUIABA,6.84,1
VARZEA GRANDE,SANTO ANTONIO DO LEVERGER,25.05,2
VARZEA GRANDE,NOSSA SENHORA DO LIVRAMENTO,26.44,3
VARZEA GRANDE,CHAPADA DOS GUIMARAES,46.0,4
VARZEA GRANDE,ACORIZAL,55.75,5
VARZEA GRANDE,JANGADA,59.25,6
VERA,FELIZ NATAL,43.54,1
VERA,SANTA CARMEM,43.62,2
VERA,SORRISO,51.08,3
VERA,NOVA UBIRATA,76.21,4
VERA,IPIRANGA DO NORTE,83.5,5
VERA,CLAUDIA,90.88,6
VILA RICA,SANTA TEREZINHA,83.11,1
VILA RICA,LUCIARA,101.62,2
VILA RICA,PORTO ALEGRE DO NORTE,110.88,3
