municipio,epi_year,epi_week,precipitation_sum_mm,wind_speed_10m_max,temperature_2m_max,relative_humidity_2m_min,n_eventos_climaticos,severidade_media,severidade_max
ACORIZAL,2022,44,,,,,7,0.0,0
ACORIZAL,2022,45,,,,,7,0.0,0
ACORIZAL,2022,46,,,,,7,0.0,0
ACORIZAL,2022,47,,,,,7,0.0,0
ACORIZAL,2022,48,,,,,7,0.0,0
ACORIZAL,2022,49,,,,,7,0.0,0
ACORIZAL,2022,50,,,,,7,0.0,0
ACORIZAL,2022,51,,,,,7,0.0,0
ACORIZAL,2022,52,,,,,7,0.0,0
ACORIZAL,2023,1,,,,,7,0.0,0
ACORIZAL,2023,2,,,,,7,0.0,0
ACORIZAL,2023,3,,,,,7,0.0,0
ACORIZAL,2023,4,,,,,7,0.0,0
ACORIZAL,2023,5,,,,,7,0.0,0
ACORIZAL,2023,6,,,,,7,0.0,0
ACORIZAL,2023,7,,,,,7,0.0,0
ACORIZAL,2023,8,,,,,7,0.0,0
ACORIZAL,2023,9,,,,,7,0.0,0
ACORIZAL,2023,10,,,,,7,0.0,0
ACORIZAL,2023,11,,,,,7,0.0,0
ACORIZAL,2023,12,,,,,7,0.0,0
ACORIZAL,2023,13,,,,,7,0.0,0
ACORIZAL,2023,14,,,,,7,0.0,0
ACORIZAL,2023,15,,,,,7,0.0,0
ACORIZAL,2023,16,,,,,7,0.0,0
ACORIZAL,2023,17,,,,,7,0.0,0
ACORIZAL,2023,18,,,,,7,0.0,0
ACORIZAL,2023,19,,,,,7,0.0,0
ACORIZAL,2023,20,,,,,7,0.0,0
ACORIZAL,2023,21,,,,,7,0.0,0
ACORIZAL,2023,22,,,,,7,0.0,0
ACORIZAL,2023,23,,,,,7,0.0,0
ACORIZAL,2023,24,,,,,7,0.0,0
ACORIZAL,2023,25,,,,,7,0.0,0
ACORIZAL,2023,26,,,,,7,0.0,0
ACORIZAL,2023,27,,,,,7,0.0,0
ACORIZAL,2023,28,,,,,7,0.0,0
ACORIZAL,2023,29,,,,,7,0.0,0
ACORIZAL,2023,30,,,,,7,0.0,0
ACORIZAL,2023,31,,,,,7,0.0,0
ACORIZAL,2023,32,,,,,7,0.0,0
ACORIZAL,2023,33,,,,,7,0.0,0
ACORIZAL,2023,34,,,,,7,0.0,0
ACORIZAL,2023,35,,,,,7,0.0,0
ACORIZAL,2023,36,,,,,7,0.0,0
ACORIZAL,2023,37,,,,,7,0.0,0
ACORIZAL,2023,38,,,,,7,0.0,0
ACORIZAL,2023,39,,,,,7,0.0,0
ACORIZAL,2023,40,,,,,7,0.0,0
ACORIZAL,2023,41,,,,,7,0.0,0
ACORIZAL,2023,42,,,,,7,0.0,0
ACORIZAL,2023,43,,,,,7,0.0,0
ACORIZAL,2023,44,,,,,7,0.0,0
ACORIZAL,2023,45,,,,,7,0.0,0
ACORIZAL,2023,46,,,,,7,0.0,0
ACORIZAL,2023,47,,,,,7,0.0,0
ACORIZAL,2023,48,,,,,7,0.0,0
ACORIZAL,2023,49,,,,,7,0.0,0
ACORIZAL,2023,50,,,,,7,0.0,0
ACORIZAL,2023,51,,,,,7,0.0,0
ACORIZAL,2023,52,,,,,7,0.0,0
ACORIZAL,2024,1,,,,,7,0.0,0
ACORIZAL,2024,2,,,,,7,0.0,0
ACORIZAL,2024,3,,,,,7,0.0,0
ACORIZAL,2024,4,,,,,7,0.0,0
ACORIZAL,2024,5,,,,,7,0.0,0
ACORIZAL,2024,6,,,,,7,0.0,0
ACORIZAL,2024,7,,,,,7,0.0,0
ACORIZAL,2024,8,,,,,7,0.0,0
