municipio,municipio_key,internacoes,internacoes_por_100k,sih_semana_ref,cid_familia,indicasus_score,aviso,fonte_internacao,fonte_indicasus
MIRANTE DA SERRA,MIRANTE DA SERRA,0,,2026-SE26,dengue_arbovirose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
NAVIRAI,NAVIRAI,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
NOBRES,NOBRES,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
NOVA BANDEIRANTES,NOVA BANDEIRANTES,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
NOVA MONTE VERDE,NOVA MONTE VERDE,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
NOVA OLIMPIA,NOVA OLIMPIA,0,0.0,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
NOVA UBIRATA,NOVA UBIRATA,0,0.0,2026-SE26,,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
PACARAIMA,PACARAIMA,0,,2026-SE26,dengue_arbovirose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
PARAUAPEBAS,PARAUAPEBAS,0,,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
PEDRA PRETA,PEDRA PRETA,0,0.0,2026-SE26,tuberculose,,Internações referem-se a 2026-SE26 (lag SIH).,staging_dw/sih_mun_cid_familia_agg.csv,staging_dw/indicadores.csv
