ano_se,semana_epidemiologica,codigo_ibge,municipio,sla_crise,silencio_gal_alerta,divergencia_gal_notif,faixa_pressao,pressao_alta,indice_pressao_rede,prob_pressao_alta_proxima_janela,faixa_pressao_predita,pressao_predita_acima_limiar,prioridade_emergencia,ts_geracao,tipo_sinal,fonte_stamp
2026,21,5103437.0,CUIABA,True,False,False,critica,True,75.36,0.4648,alta,False,CRÍTICO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5108402.0,VARZEA GRANDE,False,False,False,critica,True,80.77,0.6306,critica,True,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5108006.0,TANGARA DA SERRA,True,False,False,alta,True,72.37,0.6735,critica,True,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107925.0,SINOP,False,False,False,alta,True,72.29,0.6129,critica,True,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5102678.0,CAMPO VERDE,True,False,False,alta,True,72.2,0.1898,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5107941.0,SORRISO,True,False,False,alta,True,68.58,0.4063,alta,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5103205.0,COLIDER,False,False,True,alta,True,67.87,0.2662,moderada,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5105507.0,LUCAS DO RIO VERDE,False,False,True,alta,True,67.56,0.1874,baixa,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106851.0,PONTES E LACERDA,True,False,False,alta,True,66.72,0.4057,alta,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5103007.0,CHAPADA DOS GUIMARAES,True,False,True,alta,True,65.46,0.4727,alta,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
2026,21,5106257.0,NOVA MUTUM,True,False,False,alta,True,63.53,0.4553,alta,False,ALTO,2026-08-29T16:43:39,Observado,indicadores_emergencia
