municipio,codigo_ibge,latitude,longitude,idh,gini,extrema_pobreza_pct,pea_2010,idh_inv,pea_inv,idh_inv_z,gini_z,extrema_pobreza_pct_z,pea_inv_z,indice_vulnerabilidade
JUINA,5105200.0,-11.3813,-58.7394,0.716,0.53,4.67,18936.0,0.28400000000000003,0.0888888888888889,-0.8431250000000008,0.33725,0.24610135135135136,-1.1592968750000001,-0.35476763091216235
JURUENA,5105234.0,-10.3235,-58.3644,0.662,0.53,8.13,5569.0,0.33799999999999997,0.3925925925925926,0.6745000000000031,0.33725,1.8229729729729733,-0.2950937500000001,0.634907305743244
JUSCIMEIRA,5105259.0,-16.0503,-5.4887,0.714,0.53,2.99,5187.0,0.28600000000000003,0.4222222222222223,-0.7869166666666672,0.33725,-0.5195472972972972,-0.21078124999999998,-0.29499880349099106
LAMBARI D'OESTE,5105309.0,-1.5295,-58.0101,0.627,0.48,5.34,,0.373,,1.658145833333341,-1.349,0.5514493243243244,0.0,0.21514878941441634
LUCAS DO RIO VERDE,5105507.0,-13.0503,-55.9103,0.768,0.52,0.98,24551.0,0.23199999999999998,0.059259259259259234,-2.3045416666666743,0.0,-1.435591216216216,-1.2436093750000001,-1.2459355644707226
LUCIARA,5105580.0,-10.7516,-50.5694,0.676,0.51,12.1,803.0,0.32399999999999995,0.9703703703703703,0.28104166666666797,-0.33725,3.632273648648648,1.3489999999999998,1.231266328828829
MARCELANDIA,,,,0.701,0.55,,5834.0,0.29900000000000004,0.3851851851851852,-0.42156249999999884,1.01175,0.0,-0.31617187500000016,0.06850390625000023
MATUPA,5105622.0,-1.0057,-54.9357,0.716,0.52,4.12,7009.0,0.28400000000000003,0.3111111111111111,-0.8431250000000008,0.0,-0.004557432432432335,-0.5269531250000001,-0.3436588893581083
MIRASSOL D'OESTE,5105903.0,,,0.704,0.51,3.21,,0.29600000000000004,,-0.5058749999999992,-0.33725,-0.4192837837837838,0.0,-0.31560219594594574
NOBRES,5106000.0,-14.7208,-56.3283,0.699,0.54,6.13,6424.0,0.30100000000000005,0.36296296296296293,-0.3653541666666652,0.6745,0.9114864864864864,-0.3794062500000002,0.21030651745495527
NORTELANDIA,5106109.0,-14.4173,-56.8048,0.702,0.5,4.88,2825.0,0.29800000000000004,0.6148148148148148,-0.44966666666666566,-0.6745,0.3418074324324324,0.3372499999999998,-0.11127730855855836
NOSSA SENHORA DO LIVRAMENTO,5106158.0,-15.7674,-56.3458,0.638,0.53,9.87,,0.362,,1.3490000000000062,0.33725,2.615966216216216,0.0,1.0755540540540556
NOVA BANDEIRANTES,5106174.0,-98.4537,-57.8041,0.65,0.5,5.89,4871.0,0.35,0.4814814814814815,1.0117500000000048,-0.6745,0.802108108108108,-0.042156250000000055,0.27430046452702816
NOVA BRASILANDIA,5106208.0,-14.9575,-55.9731,0.651,0.48,7.12,1596.0,0.349,0.837037037037037,0.9836458333333379,-1.349,1.3626722972972976,0.9695937499999997,0.4917279701576588
NOVA CANAA DO NORTE,5106216.0,-10.6865,-55.9574,0.686,0.5,5.43,5885.0,0.31399999999999995,0.37777777777777777,0.0,-0.6745,0.5924662162162162,-0.33725000000000016,-0.10482094594594599
NOVA GUARITA,5106182.0,-10.3015,-55.4383,0.688,0.47,6.32,2377.0,0.31200000000000006,0.6962962962962963,-0.05620833333333047,-1.6862500000000002,0.9980777027027029,0.5691093749999998,-0.043817813907657016
NOVA LACERDA,5106190.0,-1.4481,-5.9593,0.636,0.5,4.12,2336.0,0.364,0.7111111111111111,1.40520833333334,-0.6745,-0.004557432432432335,0.6112656249999999,0.3343541314752269
NOVA MARILANDIA,5106224.0,-14.6738,-56.5753,0.704,0.45,3.99,1490.0,0.29600000000000004,0.8592592592592593,-0.5058749999999992,-2.360749999999998,-0.0638040540540539,1.0328281249999998,-0.47440023226351286
NOVA MARINGA,5106232.0,-13.0039,-57.0601,0.663,0.51,5.01,3234.0,0.33699999999999997,0.6074074074074074,0.6463958333333363,-0.33725,0.401054054054054,0.31617187499999977,0.2565929405968475
NOVA MONTE VERDE,5106240.0,-99.6781,-57.5258,0.691,0.5,6.21,4138.0,0.30900000000000005,0.5481481481481482,-0.14052083333333087,-0.6745,0.947945945945946,0.14754687499999988,0.07011799690315373
NOVA MUTUM,5106257.0,-13.8291,-56.0759,0.758,0.53,1.34,17961.0,0.242,0.09629629629629632,-2.023500000000006,0.33725,-1.2715236486486488,-1.1382187499999998,-1.0239980996621636
NOVA NAZARE,,,,0.595,0.55,,987.0,0.405,0.9407407407407408,2.5574791666666785,1.01175,0.0,1.2646874999999997,1.2084791666666697
NOVA OLIMPIA,5106265.0,-14.7967,-57.2882,0.682,0.52,2.98,7226.0,0.31799999999999995,0.2962962962962963,0.11241666666666719,0.0,-0.5241047297297297,-0.5691093750000001,-0.24519935951576566
NOVA SANTA HELENA,5106273.0,-10.8652,-55.3343,0.714,0.46,3.45,1643.0,0.28600000000000003,0.8148148148148149,-0.7869166666666672,-2.023499999999998,-0.3099054054054053,0.906359375,-0.5534906742680176
NOVA UBIRATA,5106281.0,-12.9868,-55.2536,0.669,0.54,3.12,4659.0,0.33099999999999996,0.49629629629629635,0.47777083333333553,0.6745,-0.4603006756756756,0.0,0.172992539414415
NOVA XAVANTINA,5106299.0,-14.6735,-52.3524,0.704,0.53,4.01,9530.0,0.29600000000000004,0.20740740740740737,-0.5058749999999992,0.33725,-0.05468918918918923,-0.8220468750000002,-0.26134026604729715
NOVO HORIZONTE DO NORTE,5106307.0,-11.4116,-57.3486,0.664,0.47,4.98,1974.0,0.33599999999999997,0.7703703703703704,0.6182916666666696,-1.6862500000000002,0.38738175675675696,0.7798906249999998,0.024828512105856543
NOVO MUNDO,5106315.0,-99.2348,-55.1979,0.674,0.49,6.13,3520.0,0.32599999999999996,0.5851851851851853,0.33725000000000155,-1.01175,0.9114864864864864,0.25293750000000004,0.12248099662162204
NOVO SANTO ANTONIO,5106372.0,-1.2597,-51.3411,0.653,0.55,15.1,836.0,0.347,0.962962962962963,0.9274375000000042,1.01175,4.999503378378377,1.327921875,2.066653188344595
NOVO SAO JOAQUIM,5106422.0,-14.9084,-53.0185,0.649,0.52,4.56,2710.0,0.351,0.6370370370370371,1.0398541666666714,0.0,0.19596959459459448,0.4004843749999999,0.4090770340653165
PARANAITA,5106455.0,-9.6644,-5.6478,0.672,0.49,4.12,5256.0,0.32799999999999996,0.41481481481481486,0.3934583333333352,-1.01175,-0.004557432432432335,-0.231859375,-0.21367711852477425
PARANATINGA,5106505.0,-14.4307,-54.0494,0.667,0.54,5.34,8353.0,0.33299999999999996,0.24444444444444446,0.5339791666666691,0.6745,0.5514493243243244,-0.7166562500000001,0.26081806024774834
PEDRA PRETA,5106653.0,-16.6212,-54.4754,0.679,0.53,2.11,6689.0,0.32099999999999995,0.3407407407407408,0.1967291666666676,0.33725,-0.9206013513513513,-0.442640625,-0.20731570242117095
PEIXOTO DE AZEVEDO,5106703.0,-10.2223,-54.9789,0.649,0.52,5.88,14232.0,0.351,0.14074074074074072,1.0398541666666714,0.0,0.7975506756756756,-1.0117500000000001,0.20641371058558672
PLANALTO DA SERRA,5106752.0,-14.6543,-55.2818,0.656,0.49,6.43,1016.0,0.344,0.9333333333333333,0.8431250000000039,-1.01175,1.0482094594594593,1.243609375,0.5307984586148657
POCONE,5106778.0,-16.2568,-56.6225,0.652,0.55,7.89,12156.0,0.348,0.16296296296296298,0.9555416666666711,1.01175,1.7135945945945945,-0.9485156250000001,0.6830926590653164
PONTAL DO ARAGUAIA,5106802.0,-15.8361,-52.0122,0.734,0.52,2.98,2631.0,0.266,0.6444444444444444,-1.349000000000003,0.0,-0.5241047297297297,0.4215624999999997,-0.3628855574324333
PONTE BRANCA,5106828.0,-16.7624,-52.8338,0.686,0.54,3.21,740.0,0.31399999999999995,0.9777777777777777,0.0,0.6745,-0.4192837837837838,1.3700781249999996,0.40632358530405394
PONTES E LACERDA,5106851.0,,,0.703,0.53,4.13,19370.0,0.29700000000000004,0.08148148148148149,-0.4777708333333324,0.33725,0.0,-1.180375,-0.33022395833333307
