familia,exames,n_municipios,tat_mediano_dias,tat_p90_dias,pct_liberado_48h,pct_liberado_48h_coleta,pct_liberado_7d,pct_rejeitado,backlog_estimado,granularidade,municipio,fonte,anos_referencia
arbovirose,1741,1,30.727083333333333,72.345,0.21975308641975308,0.015748031496062992,0.09336332958380203,0.03848363009764503,489,municipio_familia,CAMPINAPOLIS,gal_lacen_microdados,>=2024
arbovirose,1671,1,25.48472222222222,97.48680555555555,0.19785575048732942,0.015434606011372868,0.1348497156783103,0.003590664272890485,212,municipio_familia,IPIRANGA DO NORTE,gal_lacen_microdados,>=2024
tuberculose,1569,1,5.665277777777778,42.87645833333341,0.5931372549019608,0.1646919431279621,0.6196682464454977,0.04780114722753346,623,municipio_familia,PONTES E LACERDA,gal_lacen_microdados,>=2024
arbovirose,1535,1,17.31597222222222,144.61222222222207,0.18885448916408668,0.03869303525365434,0.1994840928632846,0.016938110749185668,532,municipio_familia,SAPEZAL,gal_lacen_microdados,>=2024
tuberculose,1406,1,3.6430555555555557,28.215972222222224,0.8452380952380952,0.4044298605414274,0.7095980311730927,0.07112375533428165,615,municipio_familia,AGUA BOA,gal_lacen_microdados,>=2024
arbovirose,1393,1,22.497222222222224,126.70777777777779,0.18043684710351376,0.034334763948497854,0.15278969957081545,0.030868628858578606,347,municipio_familia,NOVA UBIRATA,gal_lacen_microdados,>=2024
arbovirose,1366,1,20.403472222222224,118.74097222222223,0.21323529411764705,0.07111501316944688,0.19666374012291485,0.015373352855051245,492,municipio_familia,NOVA SANTA HELENA,gal_lacen_microdados,>=2024
arbovirose,1337,1,24.43263888888889,118.4927777777778,0.21896162528216703,0.05654761904761905,0.22123015873015872,0.01795063575168287,341,municipio_familia,PEIXOTO DE AZEVEDO,gal_lacen_microdados,>=2024
arbovirose,1291,1,35.402430555555554,125.42361111111111,0.22860635696821516,0.02169421487603306,0.07747933884297521,0.03408210689388071,465,municipio_familia,ALTA FLORESTA,gal_lacen_microdados,>=2024
respiratorio,1249,1,2.720138888888889,151.7525,0.6605405405405406,0.2380467955239064,0.7405900305188199,0.27862289831865494,281,municipio_familia,PRIMAVERA DO LESTE,gal_lacen_microdados,>=2024
arbovirose,1222,1,21.365625,68.44249999999992,0.1797631862217438,0.0499001996007984,0.218562874251497,0.009819967266775777,406,municipio_familia,AGUA BOA,gal_lacen_microdados,>=2024
arbovirose,1162,1,26.697916666666668,79.82916666666667,0.05405405405405406,0.011293634496919919,0.11909650924024641,0.028399311531841654,304,municipio_familia,SAO JOSE DOS QUATRO MARCOS,gal_lacen_microdados,>=2024
arbovirose,1149,1,17.45,88.61583333333334,0.22496749024707413,0.029782359679266894,0.23825887743413515,0.028720626631853787,281,municipio_familia,TAPURAH,gal_lacen_microdados,>=2024
arbovirose,1137,1,70.46805555555555,120.56069444444445,0.0294811320754717,0.010262257696693273,0.07525655644241733,0.024626209322779244,52,municipio_familia,BARRA DO BUGRES,gal_lacen_microdados,>=2024
tuberculose,1127,1,5.76875,115.28624999999991,0.5051851851851852,0.17096336499321574,0.55359565807327,0.08251996450754215,640,municipio_familia,JUINA,gal_lacen_microdados,>=2024
arbovirose,1125,1,21.45104166666667,124.6875,0.2745398773006135,0.02733485193621868,0.09681093394077449,0.0035555555555555557,366,municipio_familia,COLNIZA,gal_lacen_microdados,>=2024
tuberculose,1090,1,3.6020833333333333,90.34513888888888,0.8073878627968337,0.40372670807453415,0.6161490683229813,0.06880733944954129,282,municipio_familia,CACERES,gal_lacen_microdados,>=2024
arbovirose,1038,1,28.636111111111113,95.4875,0.1948529411764706,0.04975124378109453,0.13432835820895522,0.007707129094412331,287,municipio_familia,MARCELANDIA,gal_lacen_microdados,>=2024
arbovirose,1005,1,56.37083333333333,233.70763888888888,0.2701298701298701,0.0,0.16407599309153714,0.042786069651741296,101,municipio_familia,NOVA GUARITA,gal_lacen_microdados,>=2024
tuberculose,970,1,44.64375,213.4375,0.4338235294117647,0.13875598086124402,0.3229665071770335,0.09381443298969072,534,municipio_familia,PEIXOTO DE AZEVEDO,gal_lacen_microdados,>=2024
arbovirose,950,1,20.32777777777778,230.50208333333333,0.23281907433380084,0.06700379266750948,0.17572692793931732,0.01263157894736842,225,municipio_familia,VILA RICA,gal_lacen_microdados,>=2024
hepatite,949,1,14.75625,206.61319444444445,0.3683304647160069,0.08819345661450925,0.2773826458036984,0.07165437302423604,381,municipio_familia,NOVA MUTUM,gal_lacen_microdados,>=2024
outros,927,1,12.641666666666667,152.32722222222222,0.4922048997772829,0.2651072124756335,0.42300194931773877,0.011866235167206042,255,municipio_familia,SINOP,gal_lacen_microdados,>=2024
outros,918,1,22.70347222222222,73.078125,0.6301369863013698,0.11728395061728394,0.26337448559670784,0.02832244008714597,278,municipio_familia,RONDONOPOLIS,gal_lacen_microdados,>=2024
arbovirose,917,1,24.599305555555556,123.74444444444444,0.1515650741350906,0.022222222222222223,0.14962962962962964,0.015267175572519083,153,municipio_familia,COMODORO,gal_lacen_microdados,>=2024
outros,911,1,11.522916666666667,210.64513888888888,0.39106145251396646,0.1718494271685761,0.36661211129296234,0.08562019758507135,149,municipio_familia,TANGARA DA SERRA,gal_lacen_microdados,>=2024
